,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
岡田紅陽作品　四季の富士写真展覧会,岡田,紅陽,作品,四季,富士,写真,展覧,会,,,,,,,,,,,,
前田政雄個人版画展覧会,前田,政雄,個人,版画,展覧,会,,,,,,,,,,,,,,
第三回　彩人社洋画展,彩人,社,洋画,展,,,,,,,,,,,,,,,,
第三回　函館市内中等学校　雄弁大会,函館,市,内,中等,学校,雄弁,大会,,,,,,,,,,,,,
知学　田中巴之助先生特別大講演会,知,学,田中,巴,先生,講演,会,,,,,,,,,,,,,
日本聖公会組織四十年記念　基督教講演会,日本,公会,組織,記念,基督,教,講演,会,,,,,,,,,,,,
医学智識普及後援会,医学,智識,普及,後援,会,,,,,,,,,,,,,,,
コドモの会,コドモ,会,,,,,,,,,,,,,,,,,,
塗料智識普及宣博,塗料,智識,普及,宣博,,,,,,,,,,,,,,,,
五稜郭懐旧館は,五稜郭,懐旧,館,,,,,,,,,,,,,,,,,
COMMERCIAL SHOW ROOM,COMMERCIAL,SHOW,ROOM,,,,,,,,,,,,,,,,,
函館青森間貨車航送記念共進会,函館,青森,間,貨車,航,記念,共進,会,,,,,,,,,,,,
福引,福引,,,,,,,,,,,,,,,,,,,
北海道畜産産馬共進会,北海道,畜産,産,馬,共進,会,,,,,,,,,,,,,,
岩手県物産共進会,岩手,県,物産,共進,会,,,,,,,,,,,,,,,
第十五回　全国特産品博覧会,全国,特産,品,博覧,会,,,,,,,,,,,,,,,
第十回全国特産品　博覧会開設,全国,特産,品,博覧,会,開設,,,,,,,,,,,,,,
教育博覧会,教育,博覧,会,,,,,,,,,,,,,,,,,
御聖徳景仰　明治大帝御一代展覧会,聖徳,景仰,明治,大帝,展覧,会,,,,,,,,,,,,,,
大名古屋土地博覧会,名古屋,土地,博覧,会,,,,,,,,,,,,,,,,
国産振興　北海道拓殖博覧会,国産,振興,北海道,拓殖,博覧,会,,,,,,,,,,,,,,
函館商品陳列館,函館,商品,陳列,館,,,,,,,,,,,,,,,,
奥羽六県連合馬匹共進会,奥,羽,県,連合,馬匹,共進,会,,,,,,,,,,,,,
全国優良土産品及包装紙展覧会,全国,土産,品,包装,紙,展覧,会,,,,,,,,,,,,,
メートルとサイズ展覧会,メートル,サイズ,展覧,会,,,,,,,,,,,,,,,,
国防と産業大博覧会,国防,産業,博覧,会,,,,,,,,,,,,,,,,
満蒙資源館,満蒙,資源,館,,,,,,,,,,,,,,,,,
紀元二千六百年記念　昭和十五年開催　日本万国博覧会,紀元,記念,昭和,開催,日本,万国,博覧,会,,,,,,,,,,,,
日満産業大博覧会,日満,産業,博覧,会,,,,,,,,,,,,,,,,
北海道大博覧会,北海道,大,博覧,会,,,,,,,,,,,,,,,,
名古屋汎太平洋平和博覧会,名古屋,太平洋,平和,博覧,会,,,,,,,,,,,,,,,
御大典奉祝名古屋博覧会,大典,奉祝,名古屋,博覧,会,,,,,,,,,,,,,,,
全国観光地土産品展示会・全国水産製品展示会,全国,観光,地,土産,品,展示,会,全国,水産,製品,展示,会,,,,,,,,
全国特産品博覧会,全国,特産,品,博覧,会,,,,,,,,,,,,,,,
躍進日本大博覧会,躍進,日本,大,博覧,会,,,,,,,,,,,,,,,
意匠商標品展覧会,意匠,商標,品,展覧,会,,,,,,,,,,,,,,,
防空展覧会,防空,展覧,会,,,,,,,,,,,,,,,,,
