,title,wakati_title
po000550,岩船呉服店の包装紙,"['岩船', '呉服店', '包装', '紙']"
po000551,荻野呉服店の包装紙,"['荻野', '呉服', '店', '包装', '紙']"
po000552,荻野呉服店の包装紙,"['荻野', '呉服', '店', '包装', '紙']"
po000553,精養軒の包装紙,"['精養軒', '包装', '紙']"
po000554,亀井信盛堂の包装紙,"['亀井', '信盛', '堂', '包装', '紙']"
po000555,ヤマトヤ商店の包装紙,"['ヤマトヤ: error', '商店', '包装', '紙']"
po000556,風月堂の包装紙,"['風月堂', '包装', '紙']"
po000557,秋月堂の包装紙,"['秋月', '堂', '包装', '紙']"
po000558,風月堂田村商店の包装紙,"['風月堂', '田村商店', '包装', '紙']"
po000559,阿みや履物店の包装紙,"['みや', '履物', '店', '包装', '紙']"
po000560,藤井土産店の包装紙,"['藤井', '土産', '店', '包装', '紙']"
po000561,ハコダテヤの包装紙,"['ハコダテヤ: error', '包装', '紙']"
po000562,トラピスト乳製品の包装紙,"['トラピスト', '乳製品', '包装', '紙']"
po000563,丸越　白崎分店の包装紙,"['丸越', '白崎', '分', '店', '包装', '紙']"
po000564,長峰商店の包装紙,"['長峰', '商店', '包装', '紙']"
po000565,丸安　安田商店調製の包装紙,"['丸安', '安田', '商店', '調製', '包装', '紙']"
po000566,金森大正堂の包装紙,"['金森', '正堂', '包装', '紙']"
po000567,函館ボーニ　荻野呉服店の包装紙,"['函館', 'ボーニ: error', '荻野', '呉服店', '包装', '紙']"
po000568,松屋呉服店の包装紙,"['松屋', '呉服店', '包装', '紙']"
po000569,近江屋呉服店の包装紙,"['近江屋', '呉服', '店', '包装', '紙']"
po000570,函館　今井呉服店の包装紙,"['函館', '今井', '呉服店', '包装', '紙']"
po000571,中村呉服店の包装紙,"['中村', '呉服', '店', '包装', '紙']"
po000572,西田屋パンの包装紙,"['西田', '屋', 'パン', '包装', '紙']"
po000573,青柳軒の包装紙,"['青柳', '軒', '包装', '紙']"
po000574,古西商店の包装紙,"['古西', '商店', '包装', '紙']"
po000575,寺井陶器店の包装紙,"['寺井', '陶器', '店', '包装', '紙']"
po000576,小西洋品店の包装紙,"['小西', '洋品', '店', '包装', '紙']"
po000577,赤のれん洋反物店の包装紙,"['赤', 'のれん', '洋', '反物', '店', '包装', '紙']"
po000578,ハマノ薬房の包装紙,"['ハマ', '薬', '房', '包装', '紙']"
po000579,正札堂の包装紙,"['正札', '堂', '包装', '紙']"
po000580,田中茶舗の包装紙,"['田中', '茶舗', '包装', '紙']"
po000581,トラピスト乳製品の包装紙,"['トラピスト', '乳製品', '包装', '紙']"
po000582,牛鳥　和洋御料理の包装紙,"['牛', '鳥', '和洋', '料理', '包装', '紙']"
po000583,トモエヤの包装紙,"['トモエヤ: error', '包装', '紙']"
po000584,ネボケ堂の包装紙,"['ネボケ: error', '堂', '包装', '紙']"
po000585,サムライ呉服店の包装紙,"['サムライ', '呉服店', '包装', '紙']"
po000586,センシユウアンの包装紙,"['センシユウアン: error', '包装', '紙']"
po000587,トモエヤの包装紙,"['トモエヤ: error', '包装', '紙']"
po000588,新田完一商店の包装紙,"['新田', '完一', '商店', '包装', '紙']"
po000589,風月堂　田村松五郎の包装紙,"['風月堂', '田村', '松五郎', '包装', '紙']"
po000590,千利庵の包装紙,"['千利: error', '庵', '包装', '紙']"
po000591,早坂洋品店の包装紙,"['早坂', '洋品', '店', '包装', '紙']"
po000592,赤のれんモスリン店の包装紙,"['赤', 'のれん', 'モスリン', '店', '包装', '紙']"
po000593,寺井陶器店の包装紙,"['寺井', '陶器', '店', '包装', '紙']"
po000594,安田商店の包装紙,"['安田', '商店', '包装', '紙']"
po000595,伊月洋物店の包装紙,"['伊月', '洋', '物', '店', '包装', '紙']"
po000596,サカモトの包装紙,"['サカモト', '包装', '紙']"
po000597,函館今井呉服店の包装紙,"['函館', '今井', '呉服店', '包装', '紙']"
po000598,共益商社の包装紙,"['共益', '商社', '包装', '紙']"
po000599,白木屋呉服店の包装紙,"['白木屋', '呉服店', '包装', '紙']"
po000600,松吉政吉商店の包装紙,"['松吉', '政吉', '商店', '包装', '紙']"
po000601,柳栄堂の包装紙,"['柳栄: error', '堂', '包装', '紙']"
po000602,富屋北川商店の包装紙,"['富屋', '北川', '商店', '包装', '紙']"
po000603,浪花屋の包装紙,"['浪花', '屋', '包装', '紙']"
po000604,成木屋呉服店の包装紙,"['成木', '屋', '呉服店', '包装', '紙']"
po000605,成木屋呉服店の包装紙,"['成木', '屋', '呉服店', '包装', '紙']"
po000606,函館今井呉服店の包装紙,"['函館', '今井', '呉服店', '包装', '紙']"
po000607,柳栄堂の包装紙,"['柳栄: error', '堂', '包装', '紙']"
po000608,函館サカモトの包装紙,"['函館', 'サカモト', '包装', '紙']"
po000609,函館サカモトの包装紙,"['函館', 'サカモト', '包装', '紙']"
po000610,浪花屋の包装紙,"['浪花', '屋', '包装', '紙']"
po000611,浪花屋の包装紙,"['浪花', '屋', '包装', '紙']"
po000612,函館　荻野呉服店の包装紙,"['函館', '荻野', '呉服店', '包装', '紙']"
po000613,極光社書店の包装紙,"['極光', '社', '書店', '包装', '紙']"
po000614,極光社書店の包装紙,"['極光', '社', '書店', '包装', '紙']"
po000615,西川洋品店の包装紙,"['西川', '洋品', '店', '包装', '紙']"
po000616,大丸呉服店の包装紙,"['大丸', '呉服店', '包装', '紙']"
po000617,三越呉服店の包装紙,"['三越', '呉服店', '包装', '紙']"
po000618,函館　風月堂の包装紙,"['函館', '風月堂', '包装', '紙']"
po000619,大島商会の包装紙,"['大島', '商会', '包装', '紙']"
po000620,石塚増太郎商店の包装紙,"['石塚', '増太郎', '商店', '包装', '紙']"
po000621,松屋呉服店の包装紙,"['松屋', '呉服店', '包装', '紙']"
po000622,小林洋服店の包装紙,"['小林', '洋服', '店', '包装', '紙']"
po000623,林屋商舗の包装紙,"['林屋', '商', '舗', '包装', '紙']"
po000624,松坂屋いとう呉服店の包装紙,"['松坂屋', '呉服', '店', '包装', '紙']"
po000625,松坂屋いとう呉服店の包装紙,"['松坂屋', '呉服', '店', '包装', '紙']"
po000626,五番館の包装紙,"['五番館', '包装', '紙']"
po000627,養和軒の包装紙　,"['養和', '軒', '包装', '紙']"
po000628,榛原直次郎の包装紙,"['榛原', '直次郎', '包装', '紙']"
po000629,玉川呉服店の包装紙,"['玉川', '呉服店', '包装', '紙']"
po000630,小西洋品店の包装紙,"['小西', '洋品', '店', '包装', '紙']"
po000631,白木屋呉服店の包装紙,"['白木屋', '呉服店', '包装', '紙']"
po000632,桐生織物同業組合・邑楽織物同業組合・伊勢崎織物同業組合・群馬懸生絹太織商同業組合の包装紙,"['桐生', '織物', '同業', '組合', '邑楽', '織物', '同業', '組合', '伊勢崎', '織物', '同業', '組合', '群馬', '生絹', '太織: error', '商', '同業', '組合', '包装', '紙']"
po000633,イツキ洋品店の包装紙,"['イツキ', '洋品店', '包装', '紙']"
po000634,松屋呉服店の包装紙,"['松屋', '呉服店', '包装', '紙']"
po000635,長嶋洋品店の包装紙,"['長嶋', '洋品', '店', '包装', '紙']"
po000636,信盛堂呉服店の包装紙,"['信盛', '堂', '呉服店', '包装', '紙']"
po000637,河村蒲団店の包装紙,"['河村', '蒲団', '店', '包装', '紙']"
po000638,菊水総本店の包装紙,"['菊水', '総', '本店', '包装', '紙']"
po000639,マルキ号本店の包装紙,"['マル', 'キ号', '本店', '包装', '紙']"
po000640,白崎分店の包装紙,"['白崎', '分', '店', '包装', '紙']"
po000641,福助饂飩の包装紙,"['福助', '饂飩', '包装', '紙']"
po000642,秋月堂の包装紙,"['秋月', '堂', '包装', '紙']"
po000643,荻野呉服店の包装紙,"['荻野', '呉服', '店', '包装', '紙']"
po000644,竹田洋品店の包装紙,"['竹田', '洋品', '店', '包装', '紙']"
po000645,寺井商店の包装紙,"['寺井', '商店', '包装', '紙']"
po000646,加藤呉服店の包装紙,"['加藤', '呉服', '店', '包装', '紙']"
po000647,菊水売店の包装紙,"['菊水', '売店', '包装', '紙']"
po000648,西堀書店の包装紙,"['西堀', '書店', '包装', '紙']"
po000649,高橋商店の包装紙,"['高橋', '商店', '包装', '紙']"
po000650,西堀書店の包装紙,"['西堀', '書店', '包装', '紙']"
po000651,カナメ屋の包装紙,"['カナメ', '屋', '包装', '紙']"
po000652,トモエヤの包装紙,"['トモエヤ: error', '包装', '紙']"
po000653,今井呉服店の包装紙　,"['今井', '呉服', '店', '包装', '紙']"
po000654,カネモリ洋物店の包装紙,"['カネモリ: error', '洋', '物', '店', '包装', '紙']"
po000655,近江屋呉服店の包装紙,"['近江屋', '呉服', '店', '包装', '紙']"
po000656,陸軍御用甲子屋の包装紙,"['陸軍', '御用', '甲子', '屋', '包装', '紙']"
po000657,西堀近江堂の包装紙,"['西堀', '近江堂', '包装', '紙']"
po000658,成木屋呉服店の包装紙,"['成木', '屋', '呉服店', '包装', '紙']"
po000659,やまぶきの包装紙,"['包装', '紙']"
po000660,やまぶきの包装紙,"['包装', '紙']"
po000661,岩船呉服店の包装紙　1～2,"['岩船', '呉服店', '包装', '紙', '1', '2']"
po000662,今井呉服洋物店の包装紙　1～2,"['今井', '呉服', '洋', '物', '店', '包装', '紙', '1', '2']"
po000663,今井呉服洋物店の包装紙　1～3,"['今井', '呉服', '洋', '物', '店', '包装', '紙', '1', '3']"
po000664,萩野呉服店の包装紙,"['萩野', '呉服', '店', '包装', '紙']"
po000665,今井呉服店の包装紙,"['今井', '呉服', '店', '包装', '紙']"
po000666,風月堂田村商店の包装紙　1～2,"['風月堂', '田村商店', '包装', '紙', '1', '2']"
po000667,ネボケ堂の包装紙　1～2,"['ネボケ: error', '堂', '包装', '紙', '1', '2']"
po000668,今井呉服洋物店の包装紙　1～6,"['今井', '呉服', '洋', '物', '店', '包装', '紙', '1', '6']"
po000669,松屋呉服店の包装紙　1～2,"['松屋', '呉服店', '包装', '紙', '1', '2']"
po000670,センシュウアンの包装紙　1～6,"['センシュウ: error', 'アン', '包装', '紙', '1', '6']"
po000671,今井呉服洋物店の包装紙　1～3,"['今井', '呉服', '洋', '物', '店', '包装', '紙', '1', '3']"
po000672,三越呉服店の包装紙,"['三越', '呉服店', '包装', '紙']"
po000673,白木屋呉服店の包装紙,"['白木屋', '呉服店', '包装', '紙']"
po000674,白木呉服店の包装紙,"['白木', '呉服店', '包装', '紙']"
po000675,ハコダテヤの包装紙,"['ハコダテヤ: error', '包装', '紙']"
po000676,中村呉服店の包装紙,"['中村', '呉服', '店', '包装', '紙']"
po000677,大山商店の包装紙,"['大山', '商店', '包装', '紙']"
po000678,吉田屋モスリン店の包装紙,"['吉田屋', 'モスリン', '店', '包装', '紙']"
po000679,早坂洋品店の包装紙,"['早坂', '洋品', '店', '包装', '紙']"
po000680,児童百貨店トモエヤの包装紙,"['児童', '百貨店', 'トモエヤ: error', '包装', '紙']"
po000681,今井呉服店の包装紙　1～4,"['今井', '呉服', '店', '包装', '紙', '1', '4']"
po000682,今井呉服洋物店の包装紙　1～9,"['今井', '呉服', '洋', '物', '店', '包装', '紙', '1', '9']"
po000683,今井呉服洋物店の包装紙,"['今井', '呉服', '洋', '物', '店', '包装', '紙']"
po000684,精養軒の包装紙　,"['精養軒', '包装', '紙']"
po000685,岩船呉服店の包装紙,"['岩船', '呉服店', '包装', '紙']"
po000686,白木屋呉服店の包装紙　1～2,"['白木屋', '呉服店', '包装', '紙', '1', '2']"
po000687,岩船呉服店の包装紙,"['岩船', '呉服店', '包装', '紙']"
po000689,新田貴金属店,"['新田', '貴金属', '店']"
po000693,地図,['地図']
po000695,道政の重点,"['道政', '重点']"
po000696,学童壁新聞,"['学童', '壁新聞']"
po000697,郵便壁新聞,"['郵便', '壁新聞']"
po000698,郵便壁新聞,"['郵便', '壁新聞']"
po000699,風雪百年輝く未来　１～２,"['風雪', '百', '年', '未来', '１', '２']"
po000700,国土緑化推進委員会,"['国土', '緑化', '推進', '委員会']"
po000701,教育委員会選挙　１～２,"['教育委員会', '選挙', '１', '２']"
po000705,矯正保護強調運動,"['矯正', '保護', '強調', '運動']"
po000706,教育委員会選挙,"['教育委員会', '選挙']"
po000707,婦人週間,"['婦人', '週間']"
po000708,フォトニュース　１～２,"['フォト', 'ニュース', '１', '２']"
po000709,地方税法　１～３,"['地方税法', '１', '３']"
po000710,北海道かべ新聞　１～２,"['北海道', 'かべ新聞: error', '１', '２']"
po000711,壁新聞Ｎｏ５０,"['壁新聞', 'Ｎｏ', '５', '０']"
po000712,北海道かべ新聞Ｎｏ２１,"['北海道', 'かべ新聞: error', 'Ｎｏ', '２', '１']"
po000713,かべ新聞Ｎｏ４１,"['かべ新聞: error', 'Ｎｏ', '４', '１']"
po000714,かべ新聞Ｎｏ４０,"['かべ新聞: error', 'Ｎｏ', '４', '０']"
po000715,かべ新聞Ｎｏ４６,"['かべ新聞: error', 'Ｎｏ', '４', '６']"
po000716,北海道かべ新聞Ｎｏ２２,"['北海道', 'かべ新聞: error', 'Ｎｏ', '２', '２']"
po000718,郵便壁新聞特集号,"['郵便', '壁新聞', '特集', '号']"
po000719,時事写真ニュース,"['時事', '写真ニュース']"
po000720,科学技術週間,['科学技術週間: error']
po000721,電気ものしり教室Ｎｏ１,"['電気', 'しり', '教室', 'Ｎｏ', '１']"
po000722,函館市の財政　１～３,"['函館市', '財政', '１', '３']"
po000723,フォトニュース,"['フォト', 'ニュース']"
po000724,赤十字フォートニュース　Ｎｏ８６－１,"['赤十字', 'フォートニュース: error', 'Ｎｏ', '８', '６', '１']"
po000725,赤十字フォートニュースＮｏ８５,"['赤十字', 'フォートニュース: error', 'Ｎｏ', '８', '５']"
po000726,赤十字フォートニュース　Ｎｏ８５～２,"['赤十字', 'フォートニュース: error', 'Ｎｏ', '８', '５', '２']"
po000727,赤十字フォートニュース　Ｎｏ８５～１,"['赤十字', 'フォートニュース: error', 'Ｎｏ', '８', '５', '１']"
po000728,赤十字フォートニュース　Ｎｏ８６－２,"['赤十字', 'フォートニュース: error', 'Ｎｏ', '８', '６', '２']"
po000729,交通ニュース,"['交通', 'ニュース']"
po000730,協賛マーク,"['協賛', 'マーク']"
po000731,正しい人体寄生虫の知識　１～２,"['人体', '寄生虫', '知識', '１', '２']"
po000732,フォトニュース,"['フォト', 'ニュース']"
po000734,市立保健所　１～２,"['市立', '保健所', '１', '２']"
po000735,北海道夢の観光コース,"['北海道', '夢', '観光', 'コース']"
po000737,スポーツ教室の開設,"['スポーツ', '教室', '開設']"
po000738,北海道百年記念事業,"['北海道', '百', '年', '記念', '事業']"
po000739,北海道百年記念＝作文・論文の募集,"['北海道', '百', '年', '記念', '作文', '論文', '募集']"
po000741,函館市の財政　１～２,"['函館市', '財政', '１', '２']"
po000743,大蔵省・通貨安定対策本部,"['大蔵省', '通貨', '安定', '対策本部: error']"
po000744,生産第一,"['生産', '第一']"
po000745,北海道かべ新聞Ｎｏ１,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１']"
po000746,北海道かべ新聞,"['北海道', 'かべ新聞: error']"
po000747,北海道かべ新聞　Ｎｏ７,"['北海道', 'かべ新聞: error', 'Ｎｏ', '７']"
po000748,北海道かべ新聞Ｎｏ１５,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１', '５']"
po000749,北海道かべ新聞Ｎｏ１６,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１', '６']"
po000750,北海道かべ新聞Ｎｏ１８,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１', '８']"
po000751,北海道かべ新聞Ｎｏ１９,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１', '９']"
po000752,北海道かべ新聞Ｎｏ１３　１～２,"['北海道', 'かべ新聞: error', 'Ｎｏ', '１', '３', '１', '２']"
po000755,北海道百年,"['北海道', '百', '年']"
po000759,ホソイ商店,"['ホソイ: error', '商店']"
po000761,御誂ふとん,['誂']
po000762,蚊帳宣伝福引大売出し,"['蚊帳', '宣伝', '福引', '大売出し']"
po000770,かやは麻,"['かや', '麻']"
po000776,フレッシュ絹上布,"['フレッシュ', '絹', '上布']"
po000777,秩父銘仙,['秩父銘仙: error']
po000780,江戸自慢御裏地,"['江戸', '自慢', '裏地']"
po000781,村山大島紬,['村山大島紬: error']
po000782,本場秩父銘仙,"['本場', '秩父銘仙: error']"
po000784,西川商店,"['西川', '商店']"
po000785,西川,['西川']
po000786,西川,['西川']
po000787,西川,['西川']
po000788,サムライ兄弟商会,"['サムライ', '兄弟', '商会']"
po000789,水道週間,['水道週間: error']
po000790,WORLDFOODFESTIVAL,['WORLDFOODFESTIVAL: error']
po000791,箱館一番日本事始め物語　[カレンダー],"['箱館', '一番', '日本', '事始め', '物語', 'カレンダー']"
po000792,函館市環境部,"['函館市', '環境部']"
po000793,出版記念フォーラム,"['出版記念', 'フォーラム']"
po000794,函館浪漫地詩図夢,"['函館', '浪漫', '地', '詩', '図', '夢']"
po000795,函館浪漫地詩図夢Ⅱ,"['函館', '浪漫', '地', '詩', '図', '夢', 'Ⅱ']"
po000796,市立函館博物館五稜郭分館,"['市立函館博物館', '五稜郭', '分館']"
po000798,水道１００年展,"['水道', '１', '０', '０', '年', '展']"
po000799,箱館一番日本事始め物語　[カレンダー],"['箱館', '一番', '日本', '事始め', '物語', 'カレンダー']"
po000800,JUNO'SJAPAN'88,"['JUNO', 'SJAPAN: error', '88']"
po000801,JUNO'SJAPAN'88　[カレンダー],"['JUNO', 'SJAPAN: error', '88', 'カレンダー']"
po000802,青函博（函館EXPO’88）協賛特別企画,"['青函博: error', '函館', 'EXPO', '88', '協賛', '特別企画']"
po000803,懐かしのおもちゃ展,"['おもちゃ', '展']"
po000804,田辺三重松展,"['田辺三重松: error', '展']"
po000805,函館港まつり,"['函館港', 'まつり']"
po000806,仙台屋,"['仙台', '屋']"
po000807,芽原商店,"['芽原: error', '商店']"
po000808,森田商店,"['森田', '商店']"
po000809,金久三年味噌,"['金久', '三年味噌']"
po000810,太平商店,"['太平', '商店']"
po000811,養和軒,"['養和', '軒']"
po000812,細居商店,"['細居: error', '商店']"
po000813,金久三年味噌,"['金久', '三年味噌']"
po000814,中村酒店,"['中村', '酒', '店']"
po000815,白牡丹商補,"['白', '牡丹', '商', '補']"
po000816,小西商店,"['小西', '商店']"
po000817,金久三年味噌,"['金久', '三年味噌']"
po000818,森屋,['森屋']
po000820,函館森屋,"['函館', '森屋']"
po000846,西陣織元呉服店,"['西陣織', '呉服店']"
po000853,チェリー,['チェリー']
po000856,ピンヘット,['ヘット']
po000857,オールド,['オールド']
po000858,パイプケーク,['パイプケーク: error']
po000860,オールド,['オールド']
po000861,鈴木商店,['鈴木商店']
po000862,ルビー,['ルビー']
po000863,牡丹煙草,"['牡丹', '煙草']"
po000864,花雲井,"['花', '雲井']"
po000865,露西亜形紙巻煙草,"['露西亜', '形', '紙巻煙草: error']"
po000866,巻煙草,['巻煙草: error']
po000867,マニラ紙巻,"['マニラ', '紙巻']"
po000868,牡丹煙草,"['牡丹', '煙草']"
po000869,千草,['千草']
po000871,岩谷商会,"['岩谷', '商会']"
po000876,牡丹煙草,"['牡丹', '煙草']"
po000877,ピンヘット,['ヘット']
po000878,ホーニー巻煙草,"['ホーニー', '巻煙草: error']"
po000879,ピーコック,['ピーコック']
po000880,ホーク,['ホーク']
po000882,春の福引大売出し,"['春', '福引', '大売出し']"
po000883,佐々木商会,"['佐々木', '商会']"
po000884,レコード石鹸,"['レコード', '石鹸']"
po000885,アルファ自動研安全剃刀,"['アルファ', '自動', '研', '安全剃刀: error']"
po000886,鶴々卵石鹸,"['鶴', '卵', '石鹸']"
po000887,常乃花石鹸,"['常乃: error', '花', '石鹸']"
po000893,老牌金剛石牙粉,"['牌', '金剛石', '牙', '粉']"
po000895,クラブ美身クリーム,"['クラブ', '美身', 'クリーム']"
po000896,クラブ美身クリーム,"['クラブ', '美身', 'クリーム']"
po000897,楽生堂Ｈ．Ｓ線療院,"['楽生', '堂', '線', '療院']"
po000898,ライオン歯磨,"['ライオン', '歯磨']"
po000899,クラブ美身クリーム,"['クラブ', '美身', 'クリーム']"
po000900,ライオン歯磨,"['ライオン', '歯磨']"
po000901,クラブ美身クリーム,"['クラブ', '美身', 'クリーム']"
po000902,クラブ美身クリーム,"['クラブ', '美身', 'クリーム']"
po000903,クラブ歯磨き無代進呈,"['クラブ', '歯磨き', '無代', '進呈']"
po000904,レート大演習会,"['レート', '演習', '会']"
po000905,レート大演習会,"['レート', '演習', '会']"
po000906,ゴコー整髪料,"['ゴコー: error', '整髪料']"
po000907,函館毎日新聞創刊六十周年記念,"['函館', '毎日新聞', '創刊', '六', '十', '周年', '記念']"
po000908,御香椿油,"['御香: error', '椿油']"
po000909,レート白粉,"['レート', '白粉']"
po000910,浅野物産株式会社,"['浅野', '物産', '株式会社']"
po000911,期成同盟会,"['期成', '同盟', '会']"
po000913,電気週間,"['電気', '週間']"
po000914,親子電球,"['親子', '電球']"
po000915,エビスランプオヤコランプ,['エビスランプオヤコランプ: error']
po000916,ナショナル電球,"['ナショナル', '電球']"
po000917,JOIK,['JOIK: error']
po000918,JOIK,['JOIK: error']
po000919,フクロクストーブ,"['フクロク: error', 'ストーブ']"
po000920,フクロクストーブ,"['フクロク: error', 'ストーブ']"
po000921,三菱鉱業株式会社,"['三菱鉱業', '株式会社']"
po000922,天下ストーブ,"['天下', 'ストーブ']"
po000923,萩原式安全ストーブ,"['萩原', '式', '安全', 'ストーブ']"
po000924,ピースストーブ,"['ピース', 'ストーブ']"
po000925,センオーストーブ,['センオーストーブ: error']
po000928,愃六ストーブ,"['愃', '六', 'ストーブ']"
po000930,柄杓覆,['柄杓']
po000931,有田商会,"['有田', '商会']"
po000932,白雪コンロ,"['白雪', 'コンロ']"
po000933,天女印高級飯蒸器,"['天女', '印', '高級', '飯', '蒸器: error']"
po000934,ひば材,"['ば', '材']"
po000935,秋田杉,"['秋田', '杉']"
po000937,ＡＥＧ,['ＡＥＧ: error']
po000939,ＡＥＧ,['ＡＥＧ: error']
po000940,ジー．エス蓄電池,"['ジー', 'エス', '蓄電池']"
po000941,万能レンジ,"['万能', 'レンジ']"
po000942,標準飯蒸,"['標準', '飯', '蒸']"
po000943,事変ニュース放送特設,"['事変', 'ニュース', '放送', '特設']"
po000944,紐育スタンダード石油会社,"['紐育', 'スタンダード', '石油', '会社']"
po000945,浅井式湯たんぽ,"['浅井', '式', '湯たんぽ']"
po000947,日本蓄音器商会,"['日本', '蓄音器', '商会']"
po000949,特許法史五十年記念会,"['特許法', '史', '五', '十', '年', '記念', '会']"
po000950,米井商店,"['米井', '商店']"
po000951,フクロクストーブ,"['フクロク: error', 'ストーブ']"
po000952,フクロクストーブ,"['フクロク: error', 'ストーブ']"
po000953,JUNO'SJAPAN1988,"['JUNO', 'SJAPAN: error', '1988']"
po000955,火の用心,['火の用心']
po000961,神戸海上運送火災保険株式会社,"['神戸', '海上運送', '火災保険', '株式会社']"
po000975,つつしみの日,"['つつしみ', '日']"
po000976,火乃用心,"['火', '乃', '用心']"
po000977,函館火災予防組合連合会,"['函館', '火災', '予防', '組合', '連合会']"
po000978,中央火災傷害保険株式会社,"['中央', '火災', '傷害', '保険', '株式会社']"
po000980,輸出振興外貨節約,"['輸出', '振興', '外貨', '節約']"
po000982,火の用心,['火の用心']
po000985,宇宙旅行も貯蓄から,"['宇宙旅行', '貯蓄']"
po000991,交通共済定期預金,"['交通', '共済', '定期預金']"
po000992,農業協同組合,['農業協同組合']
po000995,火の用心,['火の用心']
po001000,貯蓄増強中央委員会,"['貯蓄', '増強', '中央委員会']"
po001001,貯蓄増強中央委員会,"['貯蓄', '増強', '中央委員会']"
po001011,茂木佐平治醸造,"['茂木佐平治', '醸造']"
po001012,マルモ醤油,"['マルモ', '醤油']"
po001019,金久三年味噌,"['金久', '三年味噌']"
po001020,カギダイ,['カギダイ: error']
po001023,サッポロビール,['サッポロビール']
po001024,サクラビール,"['サクラ', 'ビール']"
po001025,サクラビール,"['サクラ', 'ビール']"
po001026,カブトビール,['カブトビール: error']
po001027,サクラビール,"['サクラ', 'ビール']"
po001028,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001029,サクラビール,"['サクラ', 'ビール']"
po001030,サクラビール,"['サクラ', 'ビール']"
po001031,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001032,サッポロビール,['サッポロビール']
po001033,桜ビール,"['桜', 'ビール']"
po001034,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001035,帝国鉱泉株式会社,"['帝国', '鉱泉', '株式会社']"
po001036,株式会社明治屋,['株式会社明治屋: error']
po001037,清涼飲料金線サイダー,"['清涼', '飲料', '金線', 'サイダー']"
po001038,伊勢山田小川三左衛門商店,"['伊勢', '山田', '小川', '三', '左衛門', '商店']"
po001039,宮崎葡萄液,"['宮崎', '葡萄', '液']"
po001040,株式会社明治屋,['株式会社明治屋: error']
po001041,帝国鉱泉株式会社,"['帝国', '鉱泉', '株式会社']"
po001042,サクラビール,"['サクラ', 'ビール']"
po001043,[ビール],['ビール']
po001044,サクラビール　[カレンダー],"['サクラ', 'ビール', 'カレンダー']"
po001045,金線サイダー,"['金線', 'サイダー']"
po001046,カルピス,['カルピス']
po001047,ダイヤモンド印,"['ダイヤモンド', '印']"
po001048,キリンビール,['キリンビール']
po001049,柳藤吉商店製造,"['柳', '藤吉', '商店', '製造']"
po001050,キリンビール,['キリンビール']
po001051,株式会社明治屋,['株式会社明治屋: error']
po001052,リボンシトロン,['リボンシトロン: error']
po001053,カブトビール,['カブトビール: error']
po001054,サッポロビール,['サッポロビール']
po001055,ミュンヘンビール,"['ミュンヘン', 'ビール']"
po001056,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001057,サクラビール,"['サクラ', 'ビール']"
po001058,サクラビール,"['サクラ', 'ビール']"
po001059,ユニオンビール,"['ユニオン', 'ビール']"
po001060,サッポロビール,['サッポロビール']
po001061,リボンシトロン,['リボンシトロン: error']
po001062,リボンシトロン,['リボンシトロン: error']
po001063,サッポロビール,['サッポロビール']
po001064,サッポロビール,['サッポロビール']
po001065,サッポロビール,['サッポロビール']
po001066,サッポロビール,['サッポロビール']
po001067,サッポロビール,['サッポロビール']
po001068,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001069,サッポロビール,['サッポロビール']
po001070,サッポロビール,['サッポロビール']
po001071,サッポロビール,['サッポロビール']
po001072,サッポロビール,['サッポロビール']
po001073,ビール,['ビール']
po001074,サッポロビール,['サッポロビール']
po001075,リボンシトロン,['リボンシトロン: error']
po001076,サッポロビール,['サッポロビール']
po001077,サッポロビール,['サッポロビール']
po001078,サッポロビール,['サッポロビール']
po001079,高級飲料,"['高級', '飲料']"
po001080,御大典奉祝には道産酒で乾杯,"['大典', '奉祝', '道産', '酒', '乾杯']"
po001081,キリンビール,['キリンビール']
po001082,ビタミンビール,"['ビタミン', 'ビール']"
po001083,サッポロ黒ビール,"['サッポロ', '黒ビール']"
po001084,ビール展覧会,"['ビール', '展覧会']"
po001085,リボンシトロンナポリン,"['リボンシトロン: error', 'ナポリン']"
po001086,リボンシトロンナポリン,"['リボンシトロン: error', 'ナポリン']"
po001087,清涼飲料シトロン,"['清涼', '飲料', 'シトロン']"
po001088,大日本麦酒株式会社,['大日本麦酒株式会社: error']
po001089,大日本麦酒株式会社製造,"['大日本麦酒株式会社: error', '製造']"
po001090,リボンシトロン,['リボンシトロン: error']
po001091,大日本麦酒株式会社製造,"['大日本麦酒株式会社: error', '製造']"
po001092,THEDAINIPPONBEERCO.LTC,"['THEDAINIPPONBEERCO: error', 'LTC']"
po001093,大日本麦酒株式会社製造,"['大日本麦酒株式会社: error', '製造']"
po001094,リボンシトロン,['リボンシトロン: error']
po001096,[着物姿で腰板に寄りかかる女性],"['着物姿', '腰板', '女性']"
