,title,wakati_title
po000123,冬の交通事故防止運動,"['冬', '交通', '事故防止: error', '運動']"
po000124,EXPO’70日本万国博,"['EXPO', '70日', '万国博']"
po000139,港まつり,"['港', 'まつり']"
po000165,みんなで一掃き　たのしい一日,"['みんな', '一', '一日']"
po000170,国策のグラフ　写真週報　国策のパンフレット　週報,"['国策', 'グラフ', '写真週報', '国策', 'パンフレット', '週報']"
po000172,校註　日本文学大系校註　国歌大系近代　日本文学大系,"['校', '註', '日本文学', '大系', '校', '註', '国歌', '大系', '近代', '日本文学', '大系']"
po000174,国策のグラフ　写真週報,"['国策', 'グラフ', '写真週報']"
po000177,講談倶楽部新年号,"['講談倶楽部', '新年', '号']"
po000178,訳註　初等　英文世界名著全集　全十五巻,"['訳註', '初等', '英文', '世界', '名著', '全集', '十', '五', '巻']"
po000180,開館5周年記念　夷酋列像200年　蠣崎波響とその時代展,"['開館', '5周年', '記念', '夷酋列像: error', '200年', '蠣崎', '波', '響', '時代', '展']"
po000181,丹頂　千歳鶴,"['丹頂', '千歳', '鶴']"
po000183,6月1日～7日　水道週間,"['6月1日', '7日', '水道週間: error']"
po000188,民間放送20周年記念　民放のイメージを標語に,"['民間放送', '20周年', '記念', '民放', 'イメージ', '標語']"
po000189,青少年のために,"['青少年', 'ため']"
po000190,呼んでる待ってる北方領土,['北方領土']
po000192,みんなが貯蓄　住みよい社会,"['みんな', '貯蓄', '社会']"
po000193,お宅にも郵便受けを,"['お宅', '郵便受け']"
po000194,第2回市民劇場準特別公演,"['2回', '市民', '劇場', '特別', '公演']"
po000196,国際フォトニュース　かけ声の仲間,"['国際', 'フォト', 'ニュース', 'かけ声', '仲間']"
po000198,海外研修生募集,"['海外', '研修生', '募集']"
po000199,国をささえる若い力　自衛官募集,"['国', '若い力', '自衛官', '募集']"
po000200,国際フォトニュース　富士に鍛える,"['国際', 'フォト', 'ニュース', '富士']"
po000201,国際フォトニュース　大空の祭典,"['国際', 'フォト', 'ニュース', '大空', '祭典']"
po000202,赤十字看護学生募集,"['赤十字', '看護学生', '募集']"
po000203,世界の巨匠　葛飾北斎展,"['世界', '巨匠', '葛飾北斎', '展']"
po000204,貯蓄増強10月特別運動　明るい家庭　希望の夢は貯蓄から,"['貯蓄', '増強', '10月', '特別', '運動', '家庭', '希望', '夢', '貯蓄']"
po000205,第19回　三国バレエ発表会,"['19回', '三国', 'バレエ', '発表会']"
po000206,きょうは税の相談日よ,"['きょうは', '税', '相談', '日']"
po000207,新入学（園）児童を交通事故から守りましょう　4月1日～4月30日,"['新入学', '園', '児童', '交通事故', '4月1日', '4月30日']"
po000208,たすけあって！赤い羽根のよろこびを,['赤い羽根']
po000209,正しい計量　明るい社会,"['計量', '社会']"
po000210,国民年金に加入しよう,"['国民年金', '加入']"
po000211,明るい家庭に明るい子供,"['家庭', '子供']"
po000212,警察官採用,"['警察官', '採用']"
